iter	RMSE
162	8.426620987
163	8.421401228
164	8.418196583
165	8.417447816
166	8.415775375
167	8.413514233
168	8.41144908
169	8.404477312
170	8.388189317
171	8.386353288
172	8.383362928
173	8.378540553
174	8.374279174
175	8.346775851
176	8.341195373
177	8.340835764
178	8.337422363
179	8.335573975
180	8.324620623
181	8.32373348
182	8.315165965
183	8.314431114
184	8.295649068
185	8.286443665
186	8.262623203
187	8.258056757
188	8.232266396
189	8.225662684
190	8.222606845
191	8.218478818
192	8.217696446
193	8.20977245
194	8.202608963
195	8.1985091
196	8.19333597
197	8.185325624
198	8.182394985
199	8.181608069
200	8.174998618
201	8.171310252
202	8.170716547
203	8.168801369
204	8.166518472
205	8.166235177
206	8.163067397
207	8.156700806
208	8.154945278
209	8.142847685
210	8.121161082
211	8.098871666
212	8.095438771
213	8.093156339
214	8.086379661
215	8.083124921
216	8.077912247
217	8.077382913
218	8.07685687
219	8.065783724
220	8.058697153
221	8.058070145
222	8.049547538
223	8.045545136
224	8.045006365
225	8.024250304
226	8.02141048
227	8.019654668
228	8.01166102
229	8.010242372
230	8.009860129
231	8.006920938
232	8.006609082
233	8.005873687
234	8.005392886
235	8.002189069
236	8.001855915
237	8.001120824
238	7.995458129
239	7.987679589
240	7.987064478
241	7.969107023
242	7.968805504
243	7.96837961
244	7.963654663
245	7.963213872
246	7.959266771
247	7.958297439
248	7.957901276
249	7.95752413
250	7.938787008
251	7.930412147
252	7.929832208
253	7.928525359
254	7.928004642
255	7.927149017
256	7.919391658
257	7.918855002
258	7.918384732
259	7.915498352
260	7.912871087
261	7.911434176
262	7.90913472
263	7.908516092
264	7.904937656
265	7.90318094
266	7.9016121
267	7.900440853
268	7.890091389
269	7.88965258
270	7.880015975
271	7.877189442
272	7.874716252
273	7.873331128
274	7.870729961
275	7.870119932
276	7.867789177
277	7.862650439
278	7.861738587
279	7.860320752
280	7.859783499
281	7.853348806
282	7.852962284
283	7.852679026
284	7.851852299
285	7.849466893
286	7.846399152
287	7.845153471
288	7.844426203
289	7.843408767
290	7.841100329
291	7.839735883
292	7.839519967
293	7.836635056
294	7.833592728
295	7.833093559
296	7.832819459
297	7.830859131
298	7.82884922
299	7.827043866
300	7.826674688
301	7.825276699
302	7.824430699
303	7.824215376
304	7.820419613
305	7.819252241
306	7.818066636
307	7.814688726
308	7.814464124
309	7.813857004
310	7.811228405
311	7.810452926
312	7.793425972
313	7.791187062
314	7.790903656
315	7.78766062
316	7.782202301
317	7.773476571
318	7.771979384
319	7.771170575
320	7.769322326
321	7.761393093
322	7.758855047
323	7.756226792
324	7.753466259
325	7.753265565
326	7.752869884
327	7.752563571
328	7.752386867
329	7.748039985
330	7.746214234
331	7.742746547
332	7.742362923
333	7.738485486
334	7.730399272
335	7.730064025
336	7.729898649
337	7.725486316
338	7.723729338
339	7.723163658
340	7.722974007
341	7.722835773
342	7.717596985
343	7.715015826
344	7.713290028
345	7.705865502
346	7.702688993
347	7.701200131
348	7.70103978
349	7.69106879
350	7.685644488
351	7.684527801
352	7.683253587
353	7.680943365
354	7.679117775
355	7.678872978
356	7.674742256
357	7.669720569
358	7.669517943
359	7.668404753
360	7.666793542
361	7.663258315
362	7.659636337
363	7.65798513
364	7.655876524
365	7.653808522
366	7.651998334
367	7.649410567
368	7.647566894
369	7.646795613
370	7.646660231
371	7.634944944
372	7.632550413
373	7.630048618
374	7.625094039
375	7.622483489
376	7.621915877
377	7.618939878
378	7.616697661
379	7.612582744
380	7.609836825
381	7.607665021
382	7.594062482
383	7.591960136
384	7.591497314
385	7.590615329
386	7.590418228
387	7.588844784
388	7.587750335
389	7.584838688
390	7.584652879
391	7.577704031
392	7.576127181
393	7.575936487
394	7.574324748
395	7.573005038
396	7.569743637
397	7.5623967
398	7.562204855
399	7.561232333
400	7.560864001
401	7.558713742
402	7.557008573
403	7.553516698
404	7.55052522
405	7.549203156
406	7.544540428
407	7.542399526
408	7.541990138
409	7.541885204
410	7.536971573
411	7.536062696
412	7.53567598
413	7.534722798
414	7.533942494
415	7.533316079
416	7.532869635
417	7.531688669
418	7.530910131
419	7.53009874
420	7.527256751
421	7.525549209
422	7.521709593
423	7.519449752
424	7.509826069
425	7.509205313
426	7.508792317
427	7.507373235
428	7.505791077
429	7.503222336
430	7.500728601
431	7.500236526
432	7.497878913
433	7.497612039
434	7.496924638
435	7.495587989
436	7.493757704
437	7.489489546
438	7.488035622
439	7.481178866
440	7.474352801
441	7.473663078
442	7.473229518
443	7.472012847
444	7.468842467
445	7.46437774
446	7.463077152
447	7.462723675
448	7.451263557
449	7.450711851
450	7.450298428
451	7.446808816
452	7.446690512
453	7.445738982
454	7.444310369
455	7.44396487
456	7.443578762
457	7.44316689
458	7.435807377
459	7.43349552
460	7.42886007
461	7.425784988
462	7.424946766
463	7.419304517
464	7.418059775
465	7.415684031
466	7.415535353
467	7.413028728
468	7.411945875
469	7.411387707
470	7.411069691
471	7.407807834
472	7.407288841
473	7.406920153
474	7.403907343
475	7.402611828
476	7.401423707
477	7.401355187
478	7.399712981
479	7.398611909
480	7.397837577
481	7.397368242
482	7.395177751
483	7.391830676
484	7.388753523
485	7.386488103
486	7.386110276
487	7.384407213
488	7.383078112
489	7.382651906
490	7.377147671
491	7.37399112
492	7.370341542
493	7.369700968
494	7.36797808
495	7.357964139
496	7.349149047
497	7.347257534
498	7.345019323
499	7.343713312
